time,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV
272.844,4431.6,60502.7,4.18922,1.56899,292.448
272.855,4431,60502.8,4.18865,1.56856,292.449
272.866,4430.4,60502.8,4.18808,1.56814,292.449
272.877,4429.8,60502.9,4.18751,1.56771,292.449
272.888,4429.2,60502.9,4.18694,1.56729,292.45
272.899,4428.6,60503,4.18638,1.56686,292.45
272.91,4428,60503,4.18581,1.56644,292.451
272.921,4427.4,60503.1,4.18524,1.56601,292.451
272.932,4426.8,60503.1,4.18467,1.56559,292.452
272.943,4426.2,60503.1,4.18411,1.56517,292.452
272.954,4425.6,60503.2,4.18354,1.56474,292.452
272.965,4425,60503.2,4.18297,1.56432,292.453
272.976,4424.4,60503.3,4.1824,1.5639,292.453
272.987,4423.8,60503.3,4.18184,1.56347,292.454
272.998,4423.2,60503.4,4.18127,1.56305,292.454
273.009,4422.6,60503.4,4.1807,1.56263,292.454
273.02,4422.01,60503.4,4.18013,1.5622,292.455
273.031,4421.41,60503.5,4.17957,1.56178,292.455
273.042,4420.81,60503.5,4.179,1.56136,292.456
273.053,4420.21,60503.6,4.17843,1.56093,292.456
273.064,4419.61,60503.6,4.17787,1.56051,292.457
273.075,4419.01,60503.7,4.1773,1.56009,292.457
273.086,4418.41,60503.7,4.17673,1.55967,292.457
273.097,4417.82,60503.8,4.17617,1.55924,292.458
273.108,4417.22,60503.8,4.1756,1.55882,292.458
273.119,4416.62,60503.8,4.17503,1.5584,292.459
273.13,4416.02,60503.9,4.17447,1.55798,292.459
273.141,4415.42,60503.9,4.1739,1.55756,292.46
273.152,4414.83,60504,4.17334,1.55713,292.46
273.163,4414.23,60504,4.17277,1.55671,292.46
273.174,4413.63,60504.1,4.1722,1.55629,292.461
273.185,4413.03,60504.1,4.17164,1.55587,292.461
273.196,4412.44,60504.1,4.17107,1.55545,292.462
273.207,4411.84,60504.2,4.17051,1.55503,292.462
273.218,4411.24,60504.2,4.16994,1.55461,292.463
273.229,4410.64,60504.3,4.16937,1.55418,292.463
273.24,4410.05,60504.3,4.16881,1.55376,292.463
273.251,4409.45,60504.4,4.16824,1.55334,292.464
273.262,4408.85,60504.4,4.16768,1.55292,292.464
273.273,4408.25,60504.5,4.16711,1.5525,292.465
273.284,4407.66,60504.5,4.16655,1.55208,292.465
273.295,4407.06,60504.5,4.16598,1.55166,292.465
273.306,4406.46,60504.6,4.16542,1.55124,292.466
273.317,4405.87,60504.6,4.16485,1.55082,292.466
273.328,4405.27,60504.7,4.16429,1.5504,292.467
273.339,4404.67,60504.7,4.16372,1.54998,292.467
273.35,4404.08,60504.8,4.16316,1.54956,292.468
273.361,4403.48,60504.8,4.16259,1.54914,292.468
273.372,4402.89,60504.8,4.16203,1.54872,292.468
273.383,4402.29,60504.9,4.16146,1.5483,292.469
273.394,4401.69,60504.9,4.1609,1.54788,292.469
273.405,4401.1,60505,4.16034,1.54746,292.47
273.416,4400.5,60505,4.15977,1.54705,292.47
273.427,4399.91,60505.1,4.15921,1.54663,292.47
273.438,4399.31,60505.1,4.15864,1.54621,292.471
273.449,4398.71,60505.1,4.15808,1.54579,292.471
273.46,4398.12,60505.2,4.15751,1.54537,292.472
273.471,4397.52,60505.2,4.15695,1.54495,292.472
273.482,4396.93,60505.3,4.15639,1.54453,292.473
273.493,4396.33,60505.3,4.15582,1.54412,292.473
273.504,4395.74,60505.4,4.15526,1.5437,292.473
273.515,4395.14,60505.4,4.1547,1.54328,292.474
273.526,4394.55,60505.4,4.15413,1.54286,292.474
273.537,4393.95,60505.5,4.15357,1.54244,292.475
273.548,4393.36,60505.5,4.15301,1.54203,292.475
273.559,4392.76,60505.6,4.15244,1.54161,292.476
273.57,4392.17,60505.6,4.15188,1.54119,292.476
273.581,4391.57,60505.7,4.15132,1.54077,292.476
273.592,4390.98,60505.7,4.15075,1.54036,292.477
273.603,4390.38,60505.8,4.15019,1.53994,292.477
273.614,4389.79,60505.8,4.14963,1.53952,292.478
273.625,4389.19,60505.8,4.14906,1.53911,292.478
273.636,4388.6,60505.9,4.1485,1.53869,292.478
273.647,4388.01,60505.9,4.14794,1.53827,292.479
273.658,4387.41,60506,4.14738,1.53786,292.479
273.669,4386.82,60506,4.14681,1.53744,292.48
273.68,4386.22,60506.1,4.14625,1.53702,292.48
273.691,4385.63,60506.1,4.14569,1.53661,292.481
273.702,4385.04,60506.1,4.14513,1.53619,292.481
273.713,4384.44,60506.2,4.14456,1.53577,292.481
273.724,4383.85,60506.2,4.144,1.53536,292.482
273.735,4383.25,60506.3,4.14344,1.53494,292.482
273.746,4382.66,60506.3,4.14288,1.53453,292.483
